"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 15:07:41 CST 2022","Wed Jun 22 15:07:41 CST 2022","253","test_case.WorkApplyCenter","test_create_advert","TestCreateAdvert","","","创建推荐位唯一码重复","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:41 CST 2022","Wed Jun 22 15:07:41 CST 2022","373","test_case.WorkApplyCenter","test_create_advert","TestCreateAdvert","","","正常创建推荐位","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:40 CST 2022","Wed Jun 22 15:07:40 CST 2022","147","test_case.WorkApplyCenter","test_advert_list_delete","TestSupApplyList","","","关键词查询列表","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:42 CST 2022","Wed Jun 22 15:07:43 CST 2022","230","test_case.WorkApplyCenter","test_edit_advert","TestSupApplyList","","","编辑推荐位渠道","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:40 CST 2022","Wed Jun 22 15:07:40 CST 2022","113","test_case.WorkApplyCenter","test_advert_list_delete","TestSupApplyList","","","关键字渠道查询列表","
        :param :
        :return:
        "
"failed","Wed Jun 22 15:07:43 CST 2022","Wed Jun 22 15:07:44 CST 2022","281","test_case.WorkApplyCenter","test_position_create_delete","TestPositionCreateDelete","","","推荐位内容创建标题重复","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:45 CST 2022","Wed Jun 22 15:07:45 CST 2022","247","test_case.WorkApplyCenter","test_position_list_operate","TestPositionConf","","","内容编辑标题重复","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:42 CST 2022","Wed Jun 22 15:07:42 CST 2022","236","test_case.WorkApplyCenter","test_edit_advert","TestSupApplyList","","","编辑推荐位名称重复","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:45 CST 2022","Wed Jun 22 15:07:45 CST 2022","271","test_case.WorkApplyCenter","test_position_list_operate","TestPositionConf","","","推荐位内容正常编辑","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:48 CST 2022","Wed Jun 22 15:07:48 CST 2022","325","test_case.WorkApplyCenter","test_tag_list_edit","TestPositionCreateDelete","","","标签列表查询","
        :param :
        :return:
        "
"failed","Wed Jun 22 15:07:43 CST 2022","Wed Jun 22 15:07:43 CST 2022","250","test_case.WorkApplyCenter","test_position_create_delete","TestPositionCreateDelete","","","推荐位内容正常创建","
        :param :
        :return:
        "
"skipped","Wed Jun 22 15:07:39 CST 2022","Wed Jun 22 15:07:39 CST 2022","0","test_case.Login","test_login","TestLogin","","","test_login[正常登录]","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:40 CST 2022","Wed Jun 22 15:07:40 CST 2022","237","test_case.WorkApplyCenter","test_advert_list_delete","TestSupApplyList","","","推荐位列表查询","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:46 CST 2022","Wed Jun 22 15:07:47 CST 2022","226","test_case.WorkApplyCenter","test_tag_create_delete","TestPositionCreateDelete","","","标签删除","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:44 CST 2022","Wed Jun 22 15:07:44 CST 2022","237","test_case.WorkApplyCenter","test_position_list_operate","TestPositionConf","","","查询推荐位配置列表","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:44 CST 2022","Wed Jun 22 15:07:44 CST 2022","264","test_case.WorkApplyCenter","test_position_create_delete","TestPositionCreateDelete","","","推荐位内容删除","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:48 CST 2022","Wed Jun 22 15:07:48 CST 2022","319","test_case.WorkApplyCenter","test_tag_list_edit","TestPositionCreateDelete","","","标签列表状态查询","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:48 CST 2022","Wed Jun 22 15:07:49 CST 2022","220","test_case.WorkApplyCenter","test_tag_list_edit","TestPositionCreateDelete","","","标签列表关键词查询","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:47 CST 2022","Wed Jun 22 15:07:48 CST 2022","262","test_case.WorkApplyCenter","test_tag_list_edit","TestPositionCreateDelete","","","标签编辑名称重复","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:45 CST 2022","Wed Jun 22 15:07:46 CST 2022","440","test_case.WorkApplyCenter","test_tag_create_delete","TestPositionCreateDelete","","","标签新增","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:48 CST 2022","Wed Jun 22 15:07:48 CST 2022","257","test_case.WorkApplyCenter","test_tag_list_edit","TestPositionCreateDelete","","","标签列表分类查询","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:44 CST 2022","Wed Jun 22 15:07:45 CST 2022","201","test_case.WorkApplyCenter","test_position_list_operate","TestPositionConf","","","推荐位内容下架","
        :param :
        :return:
        "
"passed","Wed Jun 22 15:07:46 CST 2022","Wed Jun 22 15:07:46 CST 2022","268","test_case.WorkApplyCenter","test_tag_create_delete","TestPositionCreateDelete","","","标签创建唯一码重复","
        :param :
        :return:
        "
